symbol,fold,param_adx_rising_bars,param_adx_min,param_z_entry_min,param_z_entry_max,param_sl_mult,param_max_hold_bars,oos_n,oos_sharpe,oos_total_pnl,oos_mdd
AAVE/USDC:USDC,0,2,28.0,0.8,2.0,1.5,6,15,-5.527,-1.3217,1.0
AAVE/USDC:USDC,0,2,28.0,0.8,2.0,1.5,8,13,-6.112,-1.3665,0.86
AAVE/USDC:USDC,0,2,28.0,0.8,2.0,2.0,4,14,3.361,0.7077,0.59
AAVE/USDC:USDC,0,2,28.0,0.8,2.0,2.0,6,14,-1.312,-0.3041,0.73
AAVE/USDC:USDC,0,2,28.0,0.8,2.0,2.0,8,12,-1.02,-0.229,0.6
AAVE/USDC:USDC,0,2,28.0,0.8,2.5,1.0,4,18,-5.129,-0.9379,0.46
AAVE/USDC:USDC,0,2,28.0,0.8,2.5,1.0,6,17,-12.858,-2.3462,0.74
AAVE/USDC:USDC,0,2,28.0,0.8,2.5,1.0,8,15,-35.566,-5.6594,1.44
AAVE/USDC:USDC,0,2,28.0,0.8,2.5,1.5,4,18,22.907,4.7223,0.4
AAVE/USDC:USDC,0,2,28.0,0.8,2.5,1.5,6,17,10.878,2.9103,0.65
AAVE/USDC:USDC,0,2,28.0,0.8,2.5,1.5,8,15,1.355,0.35,1.0
AAVE/USDC:USDC,0,2,28.0,0.8,2.5,2.0,4,18,25.208,5.6183,0.47
AAVE/USDC:USDC,0,2,28.0,0.8,2.5,2.0,6,17,15.749,4.1999,0.45
AAVE/USDC:USDC,0,2,28.0,0.8,2.5,2.0,8,14,5.686,1.4724,0.71
AAVE/USDC:USDC,0,2,28.0,0.8,3.0,1.0,4,22,-18.041,-3.8022,0.73
AAVE/USDC:USDC,0,2,28.0,0.8,3.0,1.0,6,18,-33.987,-6.0887,1.04
AAVE/USDC:USDC,0,2,28.0,0.8,3.0,1.0,8,18,-115.273,-11.022,1.86
AAVE/USDC:USDC,0,2,28.0,0.8,3.0,1.5,4,22,22.468,6.6589,0.62
AAVE/USDC:USDC,0,2,28.0,0.8,3.0,1.5,6,18,-4.545,-1.2163,0.65
AAVE/USDC:USDC,0,2,28.0,0.8,3.0,1.5,8,17,-10.395,-2.7046,0.99
AAVE/USDC:USDC,0,2,28.0,0.8,3.0,2.0,4,22,21.699,6.9748,0.83
AAVE/USDC:USDC,0,2,28.0,0.8,3.0,2.0,6,18,-1.824,-0.5068,0.83
AAVE/USDC:USDC,0,2,28.0,0.8,3.0,2.0,8,16,-7.951,-2.1623,0.83
